,cena (zł),powierzchnia,liczba pokoi,piętro,adres,rynek,rodzaj zabudowy,materiał budynku,okna,ogrzewanie,rok budowy,stan wykończenia (do),czynsz,forma własności,internet,telewizja kablowa,telefon,rolety antywłamaniowe,drzwi/okna antywłamaniowe,domofon/wideofon,monitoring/ochrona,system alarmowy,teren zamknięty,meble,pralka,zmywarka,lodówka,kuchenka,piekarnik,telewizor,balkon,pom. użytkowe,garaż/miejsce parkingowe,piwnica,ogródek,taras,winda,dwupoziomowe,oddzielna kuchnia,klimatyzacja
42,330000.0,36.5,2,2,Redłowo,wtórny,apartamentowiec,cegła,0,miejskie,2006,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
43,320000.0,54.5,3,2,Obłuże,wtórny,blok,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
44,449000.0,82.0,3,1,Dąbrowa,wtórny,kamienica,0,plastikowe,miejskie,2000,0,0,pełna,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
45,1090000.0,81.6,2,8,Śródmieście,wtórny,blok,inne,0,0,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
46,999000.0,136.6,4,3,Wielki Kack,wtórny,blok,pustak,0,miejskie,2005,0,700,pełna,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
47,999000.0,136.6,4,3,Mały Kack,wtórny,blok,pustak,0,miejskie,2005,0,700,pełna,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
48,419000.0,51.0,2,1,Gdynia,wtórny,apartamentowiec,pustak,0,miejskie,2009,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
49,419000.0,51.0,2,1,Witomino,wtórny,apartamentowiec,pustak,0,miejskie,2009,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
50,590000.0,71.0,3,p,Mały Kack,wtórny,apartamentowiec,0,0,miejskie,2015,0,500,pełna,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
51,590000.0,71.0,2,p,Mały Kack,wtórny,apartamentowiec,0,0,miejskie,2015,0,500,pełna,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
52,265000.0,31.0,1,1,Gdynia,wtórny,blok,pustak,0,miejskie,2008,zamieszkania,350,pełna,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
53,265000.0,31.0,1,1,Gdynia,wtórny,blok,pustak,0,miejskie,2008,zamieszkania,350,pełna,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
54,200000.0,42.2,2,3,Chylonia,wtórny,blok,wielka,plastikowe,miejskie,1970,zamieszkania,0,spółdzielcze,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
55,209900.0,42.9,2,3,Pogórze,pierwotny,0,inne,0,miejskie,0,0,0,pełna,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
56,194900.0,38.9,2,2,Pogórze,pierwotny,0,inne,0,miejskie,2018,0,0,pełna,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
57,249000.0,53.0,3,9,Obłuże,wtórny,blok,wielka,plastikowe,miejskie,1992,zamieszkania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
58,749000.0,100.6,4,2,Gdynia,wtórny,apartamentowiec,0,0,miejskie,2005,zamieszkania,800,pełna,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
59,529000.0,94.7,3,3,Gdynia,wtórny,blok,0,0,miejskie,2004,0,0,pełna,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
60,1000000.0,93.0,3,3,Orłowo,wtórny,dom,pustak,0,miejskie,1996,0,0,pełna,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
61,215000.0,42.0,2,3,Dąbrowa,wtórny,blok,0,plastikowe,miejskie,1991,0,300,pełna,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
62,283031.0,49.38,2,1,Gdynia,pierwotny,blok,cegła,plastikowe,miejskie,2017,wykończenia,0,pełna,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0
63,559000.0,86.0,3,1,Redłowo,wtórny,blok,cegła,0,miejskie,1970,zamieszkania,0,pełna,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
66,325000.0,51.0,3,1,Gdynia,pierwotny,apartamentowiec,cegła,plastikowe,gazowe,2016,wykończenia,0,pełna,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0
67,281139.0,49.05,2,1,Oksywie,pierwotny,blok,cegła,plastikowe,miejskie,2017,wykończenia,0,pełna,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
68,255510.0,46.04,2,p,Oksywie,pierwotny,blok,cegła,plastikowe,miejskie,2017,wykończenia,0,pełna,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0
69,399000.0,81.96,4,p,Pogórze,pierwotny,dom,silikat,plastikowe,gazowe,2017,0,80,pełna,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
70,339000.0,80.0,3,3,Dąbrowa,wtórny,0,0,0,0,0,0,0,pełna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,281139.0,49.05,2,1,Oksywie,pierwotny,blok,cegła,plastikowe,miejskie,2017,wykończenia,0,pełna,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
72,326992.0,57.66,3,p,Oksywie,pierwotny,blok,cegła,plastikowe,miejskie,2017,wykończenia,0,pełna,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0
73,565862.0,94.62,4,3,Gdynia,pierwotny,blok,cegła,plastikowe,miejskie,2017,wykończenia,0,pełna,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
74,255510.0,46.04,2,p,Oksywie,pierwotny,blok,cegła,plastikowe,miejskie,2017,wykończenia,0,pełna,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0
75,285000.0,65.46,3,p,Karwiny,wtórny,0,0,0,0,1980,0,0,pełna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
76,319000.0,52.5,3,1,Pustki Cisowskie,wtórny,blok,0,0,gazowe,2009,0,0,pełna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,483000.0,78.3,3,p,Wielki Kack,wtórny,0,0,0,0,0,0,0,pełna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
78,799000.0,100.74,4,2,Orłowo,wtórny,kamienica,cegła,0,gazowe,1936,0,0,pełna,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
79,450000.0,65.0,3,2,Gdynia,wtórny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,349000.0,71.97,3,1,Grabówek,wtórny,kamienica,cegła,0,miejskie,1937,0,0,pełna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,379000.0,67.5,3,3,Gdynia,wtórny,blok,pustak,0,elektryczne,1943,0,0,pełna,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
82,995000.0,127.0,4,4,Śródmieście,wtórny,kamienica,cegła,0,miejskie,1937,0,0,pełna,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
83,499000.0,69.0,3,4,Śródmieście,wtórny,kamienica,cegła,0,miejskie,1937,0,0,pełna,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
84,449000.0,67.9,3,p,Wielki Kack,wtórny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,560000.0,85.4,3,3,Śródmieście,wtórny,kamienica,cegła,plastikowe,gazowe,1936,zamieszkania,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
86,210000.0,51.16,2,2,Pustki Cisowskie,wtórny,dom,cegła,plastikowe,0,1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
87,399000.0,45.0,2,1,Mały Kack,wtórny,apartamentowiec,pustak,0,inne,2003,zamieszkania,400,pełna,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
88,369000.0,66.8,3,3,Gdynia,wtórny,blok,pustak,0,miejskie,2000,zamieszkania,500,pełna,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
89,449000.0,83.0,4,3,Gdynia,wtórny,blok,pustak,0,miejskie,2004,zamieszkania,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
90,529000.0,70.0,3,4,Obłuże,wtórny,0,0,plastikowe,miejskie,2010,0,500,pełna,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0
91,539000.0,79.0,3,3,Wzgórze Św. Maksymiliana,wtórny,kamienica,cegła,plastikowe,miejskie,1931,zamieszkania,0,pełna,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0
92,449000.0,55.0,3,p,Mały Kack,wtórny,0,0,plastikowe,miejskie,2002,0,500,pełna,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
93,499000.0,123.5,5,2,Dąbrowa,wtórny,blok,0,plastikowe,0,1995,0,950,spółdzielcze,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
94,559000.0,86.0,3,1,Redłowo,wtórny,blok,cegła,0,miejskie,1970,zamieszkania,0,pełna,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
97,325000.0,51.0,3,1,Gdynia,pierwotny,apartamentowiec,cegła,plastikowe,gazowe,2016,wykończenia,0,pełna,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0
98,283031.0,49.38,2,1,Gdynia,pierwotny,blok,cegła,plastikowe,miejskie,2017,wykończenia,0,pełna,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0
99,285000.0,52.6,3,4,Obłuże,wtórny,0,0,plastikowe,0,1970,0,330,spółdzielcze,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
100,117000.0,26.0,1,1,Gdynia,pierwotny,blok,pustak,plastikowe,gazowe,0,wykończenia,0,pełna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
101,265000.0,50.0,2,2,Dąbrowa,wtórny,blok,0,plastikowe,0,0,0,500,pełna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
102,629000.0,68.38,3,2,Działki Leśne,wtórny,0,0,0,0,0,0,0,pełna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,499000.0,89.0,3,p,Orłowo,wtórny,0,0,0,inne,1950,0,0,pełna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,280000.0,47.0,2,1,Dąbrowa,wtórny,0,0,0,0,0,0,0,pełna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
105,350000.0,70.0,4,1,Grabówek,wtórny,blok,cegła,0,miejskie,1998,0,0,pełna,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
106,980000.0,231.68,5,p,Gdynia,wtórny,0,0,0,0,2010,0,0,pełna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
107,1130000.0,206.49,5,p,Gdynia,pierwotny,0,0,0,0,2010,0,0,pełna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
108,295000.0,48.6,2,1,Gdynia,wtórny,blok,cegła,0,elektryczne,2000,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
109,250000.0,35.9,1,2,Gdynia,wtórny,blok,pustak,plastikowe,miejskie,1956,remontu,440,pełna,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
110,999000.0,50.5,2,p,Orłowo,wtórny,apartamentowiec,silikat,drewniane,miejskie,2014,zamieszkania,600,pełna,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0
111,1625000.0,126.0,4,6,Śródmieście,pierwotny,apartamentowiec,cegła,0,miejskie,2016,0,0,pełna,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
112,209900.0,42.9,2,3,Pogórze,pierwotny,0,inne,0,miejskie,0,0,0,pełna,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
113,249900.0,49.1,3,2,Pogórze,pierwotny,0,inne,0,miejskie,2018,0,0,pełna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
