,cena (zł),powierzchnia,liczba pokoi,piętro,adres,rynek,rodzaj zabudowy,materiał budynku,okna,ogrzewanie,rok budowy,stan wykończenia (do),czynsz,forma własności,internet,telewizja kablowa,telefon,rolety antywłamaniowe,drzwi/okna antywłamaniowe,domofon/wideofon,monitoring/ochrona,system alarmowy,teren zamknięty,meble,pralka,zmywarka,lodówka,kuchenka,piekarnik,telewizor,balkon,pom. użytkowe,garaż/miejsce parkingowe,piwnica,ogródek,taras,winda,dwupoziomowe,oddzielna kuchnia,klimatyzacja
881,279000.0,36.4,1,p,Sopot,wtórny,blok,pustak,0,miejskie,1985,zamieszkania,330,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
882,625000.0,73.0,3,1,Dolny,wtórny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
883,1063910.0,83.47,4,2,Sopot,pierwotny,blok,0,drewniane,miejskie,2016,wykończenia,0,pełna,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
884,825000.0,97.0,4,1,Dolny,wtórny,kamienica,cegła,0,gazowe,1930,0,0,pełna,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
885,1190000.0,112.8,5,p,Sopot,wtórny,kamienica,cegła,0,gazowe,1890,zamieszkania,600,pełna,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
886,1525000.0,118.0,4,1,Dolny,wtórny,kamienica,0,0,gazowe,0,0,0,pełna,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
887,1890000.0,103.0,4,2,Dolny,wtórny,kamienica,cegła,drewniane,0,1903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
888,1100000.0,97.0,3,p,Dolny,wtórny,kamienica,cegła,plastikowe,0,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
889,279000.0,34.4,1,p,Sopot,wtórny,blok,wielka,plastikowe,0,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
890,649000.0,86.0,3,3,Centrum,wtórny,kamienica,0,0,miejskie,2005,remontu,0,pełna,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
891,690000.0,118.0,4,1,Dolny,wtórny,kamienica,cegła,plastikowe,0,1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
892,449000.0,48.0,2,1,Centrum,wtórny,blok,inne,0,0,1980,0,0,spółdzielcze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
893,620000.0,65.13,1,2,Dolny,wtórny,blok,cegła,plastikowe,0,1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
894,930000.0,58.46,3,p,Dolny,wtórny,kamienica,0,0,gazowe,1930,0,0,pełna,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
895,999000.0,93.0,3,3,Dolny,wtórny,kamienica,0,0,gazowe,1900,0,0,pełna,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
896,590000.0,57.3,3,1,Dolny,wtórny,kamienica,cegła,plastikowe,gazowe,0,zamieszkania,0,pełna,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
897,1500000.0,113.0,5,2,Sopot,wtórny,kamienica,cegła,0,gazowe,1920,zamieszkania,700,pełna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
898,1499000.0,113.0,5,2,Sopot,wtórny,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899,398000.0,36.39,2,p,Dolny,wtórny,blok,cegła,0,gazowe,1957,remontu,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
900,440000.0,34.0,2,p,Dolny,wtórny,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
901,690000.0,116.0,3,1,Sopot,wtórny,kamienica,0,0,gazowe,1905,remontu,0,pełna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
902,398000.0,36.0,2,p,Dolny,wtórny,kamienica,cegła,plastikowe,miejskie,1957,zamieszkania,0,pełna,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
903,780000.0,93.86,4,p,Dolny,wtórny,kamienica,cegła,drewniane,0,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
904,369000.0,74.0,4,p,Sopot,wtórny,kamienica,0,plastikowe,0,0,0,0,pełna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
905,1500000.0,113.0,4,2,Górny,wtórny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
906,740000.0,45.0,2,2,Sopot,wtórny,0,0,0,0,0,0,0,pełna,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
907,719000.0,43.6,2,p,Sopot,wtórny,apartamentowiec,pustak,0,0,2010,0,0,pełna,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
908,810000.0,61.0,2,2,Sopot,wtórny,kamienica,inne,drewniane,inne,0,zamieszkania,486,pełna,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
909,890000.0,46.7,2,1,Sopot,wtórny,apartamentowiec,pustak,0,0,2010,0,0,pełna,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
910,690000.0,118.0,4,1,Dolny,wtórny,kamienica,cegła,plastikowe,gazowe,1905,zamieszkania,300,pełna,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
911,1500000.0,113.0,5,2,Sopot,wtórny,kamienica,cegła,plastikowe,inne,0,0,300,pełna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
912,450000.0,48.0,2,1,Dolny,wtórny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
913,860000.0,78.0,3,p,Wyścigi,wtórny,blok,cegła,plastikowe,0,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
914,720000.0,65.0,3,p,Sopot,wtórny,apartamentowiec,0,plastikowe,gazowe,0,zamieszkania,450,pełna,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
915,591801.0,49.02,2,1,Górny,pierwotny,apartamentowiec,0,0,miejskie,2014,0,0,pełna,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
916,690000.0,118.0,5,1,Sopot,wtórny,0,0,0,0,0,0,0,pełna,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917,820848.0,37.5,2,p,Dolny,pierwotny,apartamentowiec,0,0,miejskie,2017,0,0,pełna,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
918,750000.0,90.0,3,p,Górny,wtórny,kamienica,0,0,0,1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
919,899000.0,90.0,4,2,Wyścigi,wtórny,apartamentowiec,0,0,miejskie,2003,0,0,pełna,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
920,1060000.0,35.39,2,3,Centrum,wtórny,apartamentowiec,0,0,miejskie,2011,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
921,930000.0,58.46,3,p,Dolny,wtórny,kamienica,0,0,gazowe,1930,0,0,pełna,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
922,970000.0,59.0,3,p,Sopot,wtórny,kamienica,cegła,0,gazowe,1927,0,350,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
923,780000.0,56.0,3,3,Dolny,wtórny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
